company,mtco2
China (Coal),128933
Saudi Arabian Oil Company (Aramco),40561
Gazprom OAO,35221
National Iranian Oil Co,20505
ExxonMobil Corp,17785
Coal India,16842
Petroleos Mexicanos (Pemex),16804
Russia (Coal),16740
Royal Dutch Shell PLC,15017
China National Petroleum Corp (CNPC),14042
BP PLC,13791
Chevron Corp,11823
Petroleos de Venezuela SA (PDVSA),11079
Abu Dhabi National Oil Co,10769
Poland Coal,10480
Peabody Energy Corp,10364
Sonatrach SPA,8997
Kuwait Petroleum Corp,8961
Total SA,8541
BHP Billiton Ltd,8183
