city,state,rainfall,lat,lon
Swansboro,NC,33.89,34.693664,-77.134364
Hoffman Forest,NC,29.48,34.882739,-77.425588
Sunny Point,NC,27.44,33.984533,-77.963239
Newport,NC,25.2,34.761438,-76.876794
Emerald Isle,NC,23.66,34.665506,-77.038319
Cedar Point,NC,21.73,34.679079,-77.084421
Croatan,NC,21.7,35.726712,-75.800755
Bolivia,NC,21.59,34.071639,-78.14942
Lumberton,NC,21.51,34.624658,-79.010039
Marion,SC,18.13,34.176138,-79.3971666
Carolina Sand Hills,SC,16.44,34.518753,-80.228065
Chesterfield,SC,16.06,34.731383,-80.087435
Jefferson,SC,15.68,34.648927,-80.385357
Loris,SC,12.18,34.056787,-78.880751
Conway,SC,10.1,33.839906,-79.052244
Pawley's Island,SC,10.08,33.430825,-79.12244
