"Incident Date","State","City Or County","Address","# Killed","# Injured","Operations","addy","lat","lng"
"2018-11-25","Texas","Houston","4500 block of Yale St",1,3,"View Incident
View Source","4500 block of Yale St Houston Texas",29.8305162,-95.4011156
"2018-11-25","Alabama","Demopolis","Floyd St and Field St",2,2,"View Incident
View Source","Floyd St and Field St Demopolis Alabama",32.5063831,-87.8236929
"2018-11-25","California","Oakland","1000 block of 24th St",0,4,"View Incident
View Source","1000 block of 24th St Oakland California",37.8164572,-122.2802262
"2018-11-24","Florida","Orlando","5898 S Orange Blossom Trail",2,2,"View Incident
View Source","5898 S Orange Blossom Trail Orlando Florida",28.4730129,-81.3971164
"2018-11-23","Florida","Miami","5801 NW 27th Ave",2,5,"View Incident
View Source","5801 NW 27th Ave Miami Florida",25.8278431,-80.2406266
"2018-11-22","Indiana","Fort Wayne","6100 block of Downingtown Dr",3,2,"View Incident
View Source","6100 block of Downingtown Dr Fort Wayne Indiana",41.0290942,-85.1276163
"2018-11-21","Missouri","Saint Louis","4200 block of Shreve Ave",0,4,"View Incident
View Source","4200 block of Shreve Ave Saint Louis Missouri",38.6791297,-90.2415994
"2018-11-19","Pennsylvania","Philadelphia","5100 block of Malcolm St",4,0,"View Incident
View Source","5100 block of Malcolm St Philadelphia Pennsylvania",39.9476905,-75.2253042
"2018-11-19","Colorado","Denver","1200 21st Street",1,4,"View Incident
View Source","1200 21st Street Denver Colorado",39.753221,-104.9904837
"2018-11-18","California","Los Angeles (Watts)","95th St and Defiance Ave",1,4,"View Incident
View Source","95th St and Defiance Ave Los Angeles (Watts) California",33.950688,-118.2453023
"2018-11-16","Arkansas","Little Rock","4405 W 14th St",3,1,"View Incident
View Source","4405 W 14th St Little Rock Arkansas",34.7386163,-92.3230674
"2018-11-14","Louisiana","Baton Rouge","4800 block of Gus Young Ave",3,1,"View Incident
View Source","4800 block of Gus Young Ave Baton Rouge Louisiana",30.4619113,-91.1420661
"2018-11-13","New Mexico","Gallup","CR 1 and Defiance Draw Rd",4,1,"View Incident
View Source","CR 1 and Defiance Draw Rd Gallup New Mexico",35.4896623,-108.8972011
"2018-11-13","Indiana","Indianapolis","2007 Blue Pine Ln",2,2,"View Incident
View Source","2007 Blue Pine Ln Indianapolis Indiana",39.7371178,-86.3229591
"2018-11-12","North Carolina","Dunn","4640 Woods Crossroads Rd",3,1,"View Incident
View Source","4640 Woods Crossroads Rd Dunn North Carolina",35.308071,-78.5241829
"2018-11-11","Arizona","Globe","598 N Broad St",3,1,"View Incident
View Source","598 N Broad St Globe Arizona",33.3999315,-110.7896004
"2018-11-07","California","Thousand Oaks","99 Rolling Oaks Dr",13,2,"View Incident
View Source","99 Rolling Oaks Dr Thousand Oaks California",34.1766157,-118.8748493
