State,Minimum Wage
Alabama,NA
Alaska,9.84
Arizona,10.5
Arkansas,8.5
California,11
Colorado,10.2
Connecticut,10.1
Delaware,8.25
District of Columbia,13.25
Florida,8.25
Georgia,5.15
Hawaii,10.1
Idaho,7.25
Illinois,8.25
Indiana,7.25
Iowa,7.25
Kansas,7.25
Kentucky,7.25
Louisiana,NA
Maine,10
Maryland,10.1
Massachusetts,11
Michigan,9.25
Minnesota,9.65
Mississippi,NA
Missouri,7.85
Montana,4
Nebraska,9
Nevada,8.25
New Hampshire,7.25
New Jersey,8.6
New Mexico,7.5
New York,10.4
North Carolina,7.25
North Dakota,7.25
Ohio,8.3
Oklahoma,7.25
Oregon,10.75
Pennsylvania,7.25
Rhode Island,10.1
South Carolina,NA
South Dakota,8.85
Tennessee,NA
Texas,7.25
Utah,7.25
Vermont,10.5
Virginia,7.25
Washington,11.5
West Virginia,8.75
Wisconsin,7.25
Wyoming,5.15
